,Region,Wins,Losses
G2 Esports,Europe,12,7
Splyce,Europe,11,8
Vitality,Europe,10,8
Unicorns of Love,Europe,6,12
Fnatic,Europe,14,4
ROCCAT,Europe,8,10
FC Schalke 04 Esports,Europe,7,11
Misfits Gaming,Europe,8,10
Giants,Europe,7,11
H2K,Europe,8,10
Cloud9,North America,12,8
TSM,North America,13,7
Team Liquid,North America,12,8
100 Thieves,North America,13,6
Clutch Gaming,North America,11,9
OpTic Gaming,North America,5,13
FlyQuest,North America,6,12
Echo Fox,North America,12,7
Golden Guardians,North America,4,14
Counter Logic Gaming,North America,7,11
